CP (Ville),Ville,rue,type,typelieu
1000,Bruxelles,Rue de Dinant 43,Oliobox,Bulle de collecte
1000,Bruxelles,Rue du Persil 5,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue de l'Heliport,Oliobox,Bulle de collecte
1000,Bruxelles,Place du Grand Sablon 31,Oliobox,Bulle de collecte
1000,Bruxelles,Rue de la Chapelle 21,Oliobox,Bulle de collecte
1000,Bruxelles,Rue des Minimes 109,Oliobox,Bulle de collecte
1000,Bruxelles,Rue des Ursulines 17,Oliobox,Bulle de collecte
1000,Bruxelles,Rue de Saint-Ghislain 30,Oliobox,Bulle de collecte
1000,Bruxelles,Boulevard de Waterloo 58,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue De Stalingrad 3,Oliobox,Bulle de collecte
1000,Bruxelles,Place Jean Jacobs 5,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Terre-Neuve 135,Oliobox,Bulle de collecte
1000,Bruxelles,Place Fontainas,Oliobox,Bulle de collecte
1000,Bruxelles,Rue D'Artois,Oliobox,Bulle de collecte
1000,Bruxelles,Place Sainte-Catherine 29,Oliobox,Bulle de collecte
1000,Bruxelles,Chauss�e De Forest 32,Oliobox,Bulle de collecte
1000,Bruxelles,Place Du Beguinage,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Des Rempart Des Moines,Oliobox,Bulle de collecte
1000,Bruxelles,Place Du Vieux Marchées Aux Grains,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Du Grand-Serment,Oliobox,Bulle de collecte
1000,Bruxelles,Place De Ninove,Oliobox,Bulle de collecte
1000,Bruxelles,Place Surlet De Chokier 6,Oliobox,Bulle de collecte
1000,Bruxelles,Rue De Meiboom 36,Oliobox,Bulle de collecte
1000,Bruxelles,Rue De Blanchisserie 35,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Du Marche Au Porcs 21,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue Louise 164,Oliobox,Bulle de collecte
1000,Bruxelles,Place Des Barricades 14,Oliobox,Bulle de collecte
1000,Bruxelles,Rue De Laeken 162,Oliobox,Bulle de collecte
1000,Bruxelles,Boulevard Baudouin 9,Oliobox,Bulle de collecte
1000,Bruxelles,Chaussée D'Etterbeek 47,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Joseph II 132,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue Louise 306,Oliobox,Bulle de collecte
1000,Bruxelles,Boulevard Clovis 31,Oliobox,Bulle de collecte
1000,Bruxelles,Square Ambiorix 32,Oliobox,Bulle de collecte
1000,Bruxelles,Chaussée D'Anvers 60,Oliobox,Bulle de collecte
1000,Bruxelles,Boulevard D'Ypres 35,Oliobox,Bulle de collecte
1000,Bruxelles,Chaussee D'Anvers 152B,Oliobox,Bulle de collecte
1000,Bruxelles,Place Des Gueux 14,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue De La Renaissance 34,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue Louise 521,Oliobox,Bulle de collecte
1000,Bruxelles,Chauss�e D'Anvers 485,Oliobox,Bulle de collecte
1000,Bruxelles,Rue Du Rupel 1,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue Franklin Roosevelt 127,Oliobox,Bulle de collecte
1020,Laeken,Place Joseph Benoit Willems 15,Oliobox,Bulle de collecte
1020,Laeken,Avenue Jean Sobieski 13,Oliobox,Bulle de collecte
1020,Laeken,Rue Maurice De Moor 1,Oliobox,Bulle de collecte
1020,Laeken,Rue Des Palais Outre-Ponts 387,Oliobox,Bulle de collecte
1020,Laeken,Rue De Drootbeek 2,Oliobox,Bulle de collecte
1020,Laeken,Rue De Molenbeek 23,Oliobox,Bulle de collecte
1020,Laeken,Place Emile Bockstael 3,Oliobox,Bulle de collecte
1020,Laeken,Parvis Notre-Dame 6,Oliobox,Bulle de collecte
1020,Laeken,Rue Mathieu Desmar� 22,Oliobox,Bulle de collecte
1020,Laeken,Rue Des Artistes 46,Oliobox,Bulle de collecte
1020,Laeken,Avenue Houba De Strooper 141,Oliobox,Bulle de collecte
1020,Laeken,Boulevard Du Centenaire,Oliobox,Bulle de collecte
1020,Laeken,Avenue Des Citronniers 76,Oliobox,Bulle de collecte
